label,precision,recall,f1_score,class_name
5 o Clock Shadow,0.6299376299376299,0.6196319018404908,0.6247422680412371,5 o Clock Shadow
Arched Eyebrows,0.6881533101045296,0.5463347164591977,0.6090979182729376,Arched Eyebrows
Attractive,0.7768563889935921,0.8307134220072552,0.8028827425009739,Attractive
Bags Under Eyes,0.570675105485232,0.5420841683366734,0.5560123329907503,Bags Under Eyes
Bald,0.8658536585365854,0.6173913043478261,0.7208121827411168,Bald
Bangs,0.858793324775353,0.8425692695214105,0.8506039415130324,Bangs
Big Lips,0.7117437722419929,0.11890606420927467,0.20376974019358127,Big Lips
Big Nose,0.5641476274165202,0.6073793755912961,0.5849658314350797,Big Nose
Black Hair,0.7891304347826087,0.7594142259414226,0.7739872068230277,Black Hair
Blond Hair,0.8571428571428571,0.7408536585365854,0.794766966475879,Blond Hair
Blurry,0.6216216216216216,0.1796875,0.2787878787878788,Blurry
Brown Hair,0.5925250683682771,0.7286995515695067,0.6535947712418301,Brown Hair
Bushy Eyebrows,0.6366120218579235,0.7049924357034796,0.669059583632448,Bushy Eyebrows
Chubby,0.5418502202643172,0.422680412371134,0.4749034749034749,Chubby
Double Chin,0.6174863387978142,0.46502057613168724,0.5305164319248826,Double Chin
Eyeglasses,0.9534883720930233,0.8940809968847352,0.9228295819935691,Eyeglasses
Goatee,0.6808510638297872,0.6722689075630253,0.6765327695560254,Goatee
Gray Hair,0.7125,0.6666666666666666,0.6888217522658611,Gray Hair
Heavy Makeup,0.8752997601918465,0.8782483156881616,0.8767715589718953,Heavy Makeup
High Cheekbones,0.8667534722222222,0.8187781877818778,0.8420830697870546,High Cheekbones
Male,0.9538934426229508,0.9692868297761582,0.9615285308546346,Male
Mouth Slightly Open,0.9476609541454377,0.812549642573471,0.8749198203976908,Mouth Slightly Open
Mustache,0.62,0.484375,0.543859649122807,Mustache
Narrow Eyes,0.7103825136612022,0.16645326504481434,0.2697095435684647,Narrow Eyes
No Beard,0.9658615884811891,0.9701422906461394,0.9679972070289771,No Beard
Oval Face,0.7285714285714285,0.1756198347107438,0.2830188679245283,Oval Face
Pale Skin,0.5521472392638037,0.4918032786885246,0.5202312138728323,Pale Skin
Pointy Nose,0.6108949416342413,0.32238193018480493,0.4220430107526882,Pointy Nose
Receding Hairline,0.6355421686746988,0.45869565217391306,0.5328282828282829,Receding Hairline
Rosy Cheeks,0.6455331412103746,0.6120218579234973,0.6283309957924264,Rosy Cheeks
Sideburns,0.6145454545454545,0.771689497716895,0.6842105263157895,Sideburns
Smiling,0.9322760394342049,0.872093023255814,0.9011808576755749,Smiling
Straight Hair,0.6190476190476191,0.3819905213270142,0.47245017584994137,Straight Hair
Wavy Hair,0.8093498904309715,0.6051338066630256,0.6925,Wavy Hair
Wearing Earrings,0.7696335078534031,0.5626794258373206,0.6500829187396352,Wearing Earrings
Wearing Hat,0.8199052132701422,0.8564356435643564,0.837772397094431,Wearing Hat
Wearing Lipstick,0.9442508710801394,0.927023945267959,0.9355581127733027,Wearing Lipstick
Wearing Necklace,0.5096153846153846,0.15208034433285508,0.23425414364640884,Wearing Necklace
Wearing Necktie,0.7507788161993769,0.7067448680351907,0.7280966767371602,Wearing Necktie
Young,0.8851334802841049,0.9586206896551724,0.9204125811791672,Young
